station_name,latitude,longitude
P1,48.575,-125.5
P2,48.6,-126.0
P3,48.625,-126.3333
P4,48.65,-126.6667
P5,48.6917,-127.1667
P6,48.7433,-127.6667
P7,48.7767,-128.1667
P8,48.8167,-128.6667
P9,48.8567,-129.1667
P10,48.8933,-129.6667
P11,48.9333,-130.1667
P12,48.97,-130.6667
P13,49.0433,-131.6667
P14,49.1233,-132.6667
P15,49.2,-133.6667
P16,49.2833,-134.6667
P17,49.35,-135.6667
P18,49.4333,-136.6667
P19,49.5,-137.6667
P20,49.5667,-138.6667
P21,49.6333,-139.6667
P22,49.7,-140.6667
P23,49.7667,-141.6667
P24,49.8367,-142.6667
P25,50.0,-143.605
P35,50.0,-144.3033
P26,50.0,-145.0

